"","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","county_state"
"1","Akron_CPER","Akron","CO",40.1526,-103.1357,"1996",163,282,230,235,233.039827683578,NA,NA,NA,NA,1603.72028658365,TRUE,0,"in_range",NA,NA,NA,NA,404.2081,404.2781,"exclude",-0.0162,NA,NA,"unclear","interval",NA,"Washington_CO"
"2","Akron_CPER","Akron","CO",40.1526,-103.1357,"1997",167,284,228,234,231.368124093065,6.4369307758389,16.4985174261572,223.118865379986,25395.3874592096,1573.93238135836,FALSE,49.3971677162808,"in_range",229.172273308439,234.32511633783,230.743566363343,232.06008221021,415.865,416.153,"gauss",0.0038,230.743566363343,232.06008221021,"opt_within","interval",231.368124093065,"Washington_CO"
"3","Bardwell_Beakley","Ellis","TX",32.269,-96.6961,"2010",91,221,164,168,166.473278600861,NA,NA,NA,NA,1339.5981782856,TRUE,0,"in_range",NA,NA,NA,NA,177.7468,179.7754,"exclude",-0.0674,NA,NA,"unclear","interval",NA,"Ellis_TX"
"4","Bardwell_Beakley","Ellis","TX",32.269,-96.6961,"2011",70,199,145,158,144.392920426405,16.0909914855807,41.2428706590216,123.771485096894,84489.3173164405,2094.7348676423,FALSE,125.857331504247,"less_than",96.7428228932562,149.299152700409,136.469916621081,148.039717647972,133.5603,136.3804,"gauss",-0.0268,110,148.039717647972,"opt_before","interval",144.392920426405,"Ellis_TX"
"5","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1987",191,309,244,252,215.215604498615,NA,NA,NA,NA,1135.90977030652,TRUE,0,"less_than",246.632085611144,309.420446091137,248.622552918489,258.112741953332,420.2487,418.2582,"linear",0.0196,252,274,"opt_after","interval",NA,"Republic_KS"
"6","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1988",190,299,232,248,172.1274748599,NA,NA,NA,NA,130.477191599118,TRUE,0,"less_than",247.876733077834,732.24514220796,251.863097036976,315.30138910281,339.5157,337.5787,"linear",0.0673,248,264,"opt_after","interval",NA,"Republic_KS"
"7","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1989",191,305,242,250,234.991907371758,NA,NA,NA,NA,1299.00047312298,TRUE,0,"less_than",246.876931706208,354.953965504931,247.975651733186,261.712740979326,435.3346,433.3993,"linear",0.0384,250,270,"opt_after","interval",NA,"Republic_KS"
"8","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1991",178,290,228,237,231.709542496112,NA,NA,NA,NA,527.187280839994,TRUE,0,"in_range",NA,NA,NA,NA,150.3534,150.1454,"exclude",0.0356,NA,NA,"unclear","interval",NA,"Republic_KS"
"9","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1995",164,281,218,224,221.18807302679,7.71356419494635,19.7706605399246,211.302742756827,37023.5267984477,1914.84115983027,FALSE,59.9771752183222,"in_range",215.923327064254,229.038824607942,220.034620333745,222.424738416023,258.4799,258.2241,"gauss",0.0032,220.034620333745,222.424738416023,"opt_within","interval",221.18807302679,"Republic_KS"
"10","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1996",162,278,217,225,220.870157335446,6.09192972889251,15.6142441624998,213.063035254196,34619.9939482837,2267.15998835446,FALSE,47.8944500173336,"in_range",220.041704529338,222.131338322443,220.455640480766,221.364941369005,556.9971,561.4232,"gauss",0.0072,220.455640480766,221.364941369005,"opt_within","interval",220.870157335446,"Republic_KS"
"11","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1998",157,293,215,219,220.079301333882,NA,NA,NA,NA,2008.32536530719,TRUE,0,"greater_than",203.6817853121,221.462164571527,215.153861183679,217.674457699026,342.0045,340.0118,"exclude",-0.0081,NA,NA,"unclear","interval",NA,"Republic_KS"
"12","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1999",160,292.028708133971,213,221,217.727320048002,NA,NA,NA,NA,2713.56247569135,TRUE,0,"in_range",NA,NA,NA,NA,336.2872,334.3768,"exclude",-0.002,NA,NA,"unclear","interval",NA,"Republic_KS"
"13","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"2000",157,292.028708133971,214,219,216.08986797254,NA,NA,NA,NA,1506.42054456105,TRUE,0,"in_range",NA,NA,NA,NA,316.7065,318.5657,"exclude",0.0171,NA,NA,"unclear","interval",NA,"Republic_KS"
"14","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"2001",162,279,212,217,215.256997923541,4.76598745968936,12.2157173806617,209.149139233211,10642.471475007,890.839909936153,FALSE,35.1319288182701,"in_range",213.246258763672,223.200439339546,214.560779510063,216.150874114225,383.6423,383.3325,"gauss",0.0219,214.560779510063,216.150874114225,"opt_within","interval",215.256997923541,"Republic_KS"
"15","Brookings","Brookings","SD",44.3693,-96.7878,"1982",154,267,220,231,224.126576757347,10.624505206795,27.2317025618097,210.510725476442,54542.7253305583,2048.03883090621,FALSE,82.978068277242,"in_range",217.733724962238,226.995328947592,222.666113289949,225.209855468916,756.4294,760.8673,"gauss",-0.006,222.666113289949,225.209855468916,"opt_within","interval",224.126576757347,"Brookings_SD"
"16","Brookings","Brookings","SD",44.3693,-96.7878,"1983",152,300,218,223,218.624029157137,4.94483194013014,12.6741142284574,212.286972042908,9860.1747407318,795.505417342896,FALSE,36.1452742823314,"in_range",201.878956130982,220.375418453325,216.715696738583,219.85872365595,673.102,671.8444,"gauss",-0.0737,216.715696738583,219.85872365595,"opt_within","interval",218.624029157137,"Brookings_SD"
"17","Brookings","Brookings","SD",44.3693,-96.7878,"1984",179,314,234,247,240.641504376186,10.8695044697917,27.8596609399113,226.71167390623,25794.8028627966,946.743938989026,FALSE,80.4814909326134,"in_range",225.707146925904,249.738081148311,238.186922385095,242.90184192209,631.0603,630.3358,"gauss",-0.0057,238.186922385095,242.90184192209,"opt_within","interval",240.641504376186,"Brookings_SD"
